Fixed_Acidity,Volatile_Acidity,Citric_Acid,Chlorides,Free_Sulfur_Dioxide,Total_Sulfur_Dioxide,pH,Sulphates,Alcohol,Quality,Sugar_Density
7.2,0.21,0.34,0.043,37.0,213.0,3.09,0.5,9.6,Normal,11.85478
6.0,0.19,0.26,0.048,50.0,147.0,3.3,0.36,8.9,Normal,12.36528
6.6,0.38,0.15,0.044,25.0,78.0,3.11,0.38,10.2,Normal,4.5682599999999995
7.4,0.2,0.36,0.038,44.0,111.0,3.36,0.34,9.9,Normal,1.19112
6.8,0.22,0.24,0.092,30.0,123.0,3.03,0.46,8.6,Normal,4.875990000000001
7.0,0.47,0.07,0.035,17.0,151.0,3.02,0.34,10.5,Normal,1.0901
7.2,0.24,0.27,0.038,31.0,122.0,3.15,0.46,10.3,Normal,1.38978
6.2,0.35,0.03,0.064,29.0,120.0,3.22,0.54,9.1,Normal,1.1920799999999998
6.4,0.26,0.24,0.04,27.0,124.0,3.22,0.49,12.6,Normal,6.33792
6.7,0.25,0.13,0.041,81.0,174.0,3.14,0.42,9.8,Normal,1.1904
6.7,0.23,0.31,0.046,30.0,96.0,3.33,0.64,10.7,High,2.08446
7.4,0.24,0.29,0.05,21.0,105.0,3.13,0.35,9.5,Normal,10.06162
6.2,0.27,0.43,0.056,48.0,244.0,3.1,0.51,9.0,Normal,7.765680000000001
6.8,0.3,0.23,0.061,50.5,238.5,3.32,0.6,9.5,Normal,4.58068
6.0,0.27,0.28,0.063,31.0,201.0,3.69,0.71,10.0,Normal,4.782719999999999
8.6,0.23,0.46,0.054,9.0,72.0,2.95,0.49,9.1,Normal,0.9941
7.1,0.18,0.36,0.043,31.0,87.0,3.26,0.37,12.7,Normal,1.3857199999999998
7.0,0.32,0.34,0.042,20.0,69.0,3.31,0.65,12.0,Normal,1.28856
7.4,0.18,0.3,0.064,26.0,103.0,2.94,0.56,9.3,Normal,8.76568
6.7,0.54,0.28,0.06,21.0,105.0,3.27,0.37,9.0,Normal,5.37246
6.8,0.22,0.31,0.053,34.0,114.0,3.39,0.77,10.6,Normal,1.3900599999999999
7.1,0.2,0.34,0.05,51.0,166.0,3.21,0.6,9.2,Normal,15.976
7.1,0.34,0.2,0.063,47.0,164.0,3.17,0.42,10.0,Normal,6.06706
7.3,0.22,0.3,0.047,42.0,207.0,3.33,0.46,9.5,Normal,8.17212
7.1,0.43,0.61,0.045,54.0,155.0,3.11,0.45,8.7,Normal,11.76932
7.1,0.44,0.62,0.044,52.0,152.0,3.12,0.46,8.7,Normal,11.770500000000002
7.2,0.39,0.63,0.044,55.0,156.0,3.09,0.44,8.7,Normal,10.9714
6.8,0.25,0.31,0.05,69.0,202.0,3.22,0.48,9.7,Normal,13.26276
6.1,0.27,0.43,0.049,65.0,243.0,3.12,0.47,9.0,Normal,7.4677500000000006
6.9,0.24,0.33,0.035,47.0,136.0,3.26,0.4,12.6,Normal,1.683
6.9,0.21,0.33,0.034,48.0,136.0,3.25,0.41,12.6,Normal,1.78182
7.5,0.17,0.32,0.04,51.0,148.0,3.21,0.44,11.5,Normal,1.68572
7.1,0.26,0.29,0.044,62.0,240.0,3.04,0.42,9.2,Normal,12.36156
6.0,0.34,0.66,0.046,26.0,164.0,3.14,0.5,8.8,Normal,15.86661
8.6,0.265,0.36,0.034,15.0,80.0,2.95,0.36,11.4,Normal,1.18956
9.8,0.36,0.46,0.038,4.0,83.0,2.89,0.3,10.1,Low,10.453800000000001
7.4,0.25,0.37,0.06,52.0,192.0,3.0,0.44,9.1,Normal,13.46625
7.1,0.12,0.32,0.054,64.0,162.0,3.4,0.41,9.4,Normal,9.563519999999999
6.0,0.21,0.24,0.05,55.0,164.0,3.34,0.39,9.4,Normal,12.063699999999999
7.5,0.305,0.4,0.059,44.0,170.0,2.99,0.46,9.0,Normal,18.9
7.3,0.13,0.32,0.051,34.0,109.0,3.2,0.35,9.2,Normal,14.36256
7.1,0.23,0.35,0.04,60.0,171.0,3.16,0.59,9.1,Normal,16.4835
6.9,0.33,0.28,0.051,37.0,187.0,3.27,0.6,10.3,Normal,1.29051
6.5,0.17,0.54,0.082,64.0,163.0,2.89,0.39,8.8,Normal,8.46515
7.2,0.27,0.46,0.052,45.0,255.0,3.04,0.52,8.9,Normal,18.75
7.2,0.31,0.5,0.056,68.0,195.0,3.01,0.47,9.2,Normal,13.276060000000001
6.7,0.41,0.34,0.049,29.0,150.0,3.22,0.51,9.1,Normal,9.17056
5.5,0.485,0.0,0.065,8.0,103.0,3.63,0.4,9.7,Low,1.491
6.0,0.31,0.24,0.041,25.0,143.0,3.31,0.44,11.3,Normal,3.2716199999999995
7.0,0.14,0.4,0.035,16.0,85.0,3.19,0.42,11.8,Normal,1.6848699999999999
7.3,0.32,0.48,0.06,57.0,196.0,3.04,0.5,9.2,Normal,13.276060000000001
5.9,0.36,0.04,0.046,21.0,87.0,3.22,0.51,10.2,Normal,5.66238
7.8,0.24,0.32,0.054,42.0,138.0,3.01,0.54,8.8,Normal,12.18048
7.4,0.16,0.31,0.059,31.0,131.0,3.29,0.34,9.7,Normal,6.817119999999999
6.9,0.19,0.28,0.058,14.0,146.0,3.29,0.36,9.1,Normal,4.976
6.4,0.13,0.47,0.092,40.0,158.0,3.21,0.36,9.8,Normal,1.5884800000000001
6.7,0.19,0.36,0.026,63.0,143.0,3.27,0.48,11.0,Normal,1.09032
7.4,0.39,0.23,0.033,29.0,126.0,3.14,0.42,10.5,Normal,6.958
6.5,0.24,0.32,0.038,48.0,203.0,3.45,0.54,9.7,Normal,7.56808
6.1,0.3,0.56,0.044,47.0,179.0,3.3,0.57,10.9,Normal,2.77872
6.1,0.3,0.56,0.046,46.0,184.0,3.31,0.57,10.9,Normal,2.67948
5.7,0.26,0.25,0.02,7.0,57.0,3.39,0.37,10.6,Normal,10.3376
6.5,0.425,0.4,0.038,59.0,241.0,3.23,0.57,9.0,Normal,13.07249
6.6,0.24,0.27,0.035,46.0,188.0,3.24,0.51,9.2,Normal,15.771560000000001
6.8,0.27,0.22,0.034,55.0,203.0,3.19,0.52,8.9,Normal,8.06841
6.7,0.27,0.31,0.036,44.0,179.0,3.26,0.56,9.6,Normal,15.667029999999999
8.2,0.23,0.4,0.027,36.0,121.0,3.12,0.38,10.7,Normal,1.1904
7.1,0.37,0.67,0.045,49.0,155.0,3.16,0.44,8.7,Normal,10.47375
6.8,0.19,0.36,0.035,30.0,96.0,3.15,0.54,10.8,Normal,1.88423
8.1,0.28,0.39,0.029,18.0,79.0,3.23,0.52,11.8,Normal,1.8853699999999998
6.3,0.31,0.34,0.045,20.0,77.0,3.3,0.43,10.2,Normal,2.18394
7.9,0.21,0.4,0.039,38.0,107.0,3.21,0.54,10.8,Normal,1.1904
8.5,0.21,0.41,0.036,24.0,99.0,3.18,0.53,9.7,Normal,4.27721
8.1,0.2,0.4,0.037,19.0,87.0,3.12,0.54,11.2,Normal,1.9842
6.3,0.255,0.37,0.04,37.0,114.0,3.0,0.39,10.9,Normal,1.0895500000000002
5.6,0.16,0.27,0.044,53.0,168.0,3.28,0.37,10.1,Normal,1.38852
6.4,0.595,0.14,0.058,15.0,97.0,3.38,0.36,9.0,Low,5.17452
6.3,0.34,0.33,0.034,19.0,80.0,3.38,0.58,12.0,Normal,4.56182
6.9,0.25,0.3,0.054,23.0,116.0,2.99,0.38,9.4,Normal,4.075399999999999
7.9,0.22,0.38,0.043,46.0,152.0,3.12,0.32,11.5,Normal,7.9472
7.6,0.18,0.46,0.055,58.0,135.0,3.14,0.43,9.9,Normal,10.167359999999999
7.2,0.18,0.41,0.048,41.0,97.0,3.14,0.45,10.4,Normal,1.19028
8.2,0.23,0.4,0.049,12.0,76.0,3.06,0.84,9.7,Normal,7.4745
7.4,0.24,0.42,0.066,48.0,198.0,2.89,0.42,8.9,Normal,13.970600000000001
6.1,0.32,0.24,0.036,38.0,124.0,3.29,0.42,12.4,Normal,1.4847000000000001
5.2,0.44,0.04,0.036,43.0,119.0,3.36,0.33,12.1,High,1.38516
6.4,0.22,0.56,0.055,27.0,159.0,2.98,0.4,9.1,Normal,14.471
6.3,0.36,0.3,0.049,14.0,85.0,3.28,0.39,10.6,Normal,4.76736
6.7,0.24,0.35,0.05,64.0,205.0,3.15,0.5,9.5,Normal,13.060699999999999
7.0,0.23,0.36,0.051,72.0,177.0,3.16,0.49,9.8,Normal,12.9636
8.4,0.27,0.46,0.048,39.0,197.0,3.14,0.59,9.6,Normal,8.67738
6.7,0.46,0.18,0.034,25.0,98.0,3.08,0.44,12.6,Normal,2.37504
7.5,0.29,0.31,0.055,20.0,151.0,3.08,0.54,9.3,Normal,8.92136
9.8,0.42,0.48,0.034,5.0,110.0,2.87,0.29,10.0,Normal,9.808629999999999
7.1,0.3,0.46,0.066,29.0,133.0,3.12,0.54,12.7,Normal,1.4859
7.9,0.19,0.45,0.045,17.0,96.0,3.13,0.39,11.0,Normal,1.4875500000000001
7.6,0.48,0.37,0.037,4.0,100.0,3.03,0.39,11.4,Low,0.79216
6.3,0.22,0.43,0.038,31.0,130.0,3.35,0.33,11.5,Normal,4.51269
7.5,0.27,0.31,0.051,33.0,173.0,3.09,0.64,10.2,Normal,17.682299999999998
6.9,0.23,0.4,0.04,50.0,151.0,3.11,0.27,11.4,Normal,7.445250000000001
7.2,0.32,0.47,0.044,19.0,65.0,3.03,0.41,12.6,Low,5.0541
5.9,0.23,0.3,0.054,57.0,170.0,3.28,0.39,9.4,Normal,12.86388
6.0,0.67,0.07,0.06,9.0,108.0,3.11,0.35,8.7,Low,1.19172
6.4,0.25,0.32,0.049,41.0,176.0,3.19,0.68,9.2,Normal,5.4725
6.4,0.33,0.31,0.048,42.0,173.0,3.19,0.66,9.3,Normal,5.47305
7.1,0.34,0.15,0.053,61.0,183.0,3.09,0.43,9.2,Normal,1.19232
6.8,0.28,0.4,0.048,48.0,167.0,2.93,0.5,8.7,Normal,22.022
6.9,0.27,0.4,0.05,64.0,227.0,3.18,0.58,9.6,Normal,13.970600000000001
6.8,0.26,0.56,0.043,64.0,226.0,3.02,0.63,9.3,Normal,11.8643
6.8,0.29,0.56,0.043,66.0,230.0,3.02,0.63,9.3,Normal,11.86668
6.7,0.24,0.41,0.04,49.0,166.0,3.12,0.61,9.9,Normal,9.35676
5.9,0.3,0.23,0.038,42.0,119.0,3.15,0.5,11.0,Normal,4.16808
6.8,0.53,0.35,0.034,26.0,109.0,3.26,0.57,12.7,High,3.76428
6.5,0.28,0.28,0.047,54.0,210.0,3.09,0.54,8.9,Low,8.4677
6.6,0.28,0.28,0.052,55.0,211.0,3.09,0.55,8.9,Normal,8.4677
6.8,0.28,0.36,0.045,28.0,123.0,3.02,0.37,11.4,Normal,7.9424
6.6,0.15,0.34,0.055,34.0,125.0,3.36,0.42,9.6,Normal,5.0704199999999995
6.4,0.29,0.44,0.2,75.0,181.0,3.02,0.41,9.1,Normal,3.57912
6.4,0.3,0.45,0.197,76.0,180.0,3.02,0.39,9.1,Normal,3.4797
6.4,0.29,0.44,0.197,75.0,183.0,3.01,0.38,9.1,Normal,3.57912
6.8,0.26,0.24,0.052,54.0,214.0,3.13,0.47,8.9,Normal,7.7695799999999995
7.1,0.32,0.24,0.05,52.0,204.0,3.1,0.49,8.8,Normal,13.0738
6.8,0.27,0.26,0.049,55.0,196.0,3.15,0.5,9.3,Normal,16.07424
6.9,0.54,0.32,0.05,53.0,236.0,3.2,0.5,9.6,Normal,13.164359999999999
6.8,0.26,0.34,0.034,39.0,134.0,3.33,0.53,12.0,Normal,13.82911
5.8,0.28,0.35,0.053,36.0,114.0,3.28,0.5,10.2,Low,2.28252
6.4,0.21,0.5,0.042,45.0,153.0,3.15,0.43,8.8,Normal,11.56752
7.0,0.16,0.32,0.045,38.0,126.0,3.21,0.34,9.2,Normal,8.26514
10.2,0.44,0.88,0.049,20.0,124.0,2.99,0.51,9.9,Low,6.18016
6.8,0.57,0.29,0.04,15.0,77.0,3.32,0.74,10.2,Normal,2.18636
6.1,0.4,0.31,0.048,23.0,170.0,3.22,0.77,9.5,Normal,0.8937
5.6,0.245,0.25,0.032,12.0,68.0,3.31,0.34,10.5,Normal,9.6418
6.8,0.18,0.38,0.038,35.0,111.0,3.32,0.59,11.2,Normal,1.38852
6.7,0.13,0.29,0.051,31.0,122.0,3.44,0.37,9.7,Normal,5.27032
6.2,0.25,0.25,0.03,35.0,105.0,3.3,0.44,11.1,Normal,1.3876799999999998
5.8,0.26,0.24,0.044,55.0,152.0,3.31,0.38,9.4,Normal,9.164119999999999
7.5,0.27,0.36,0.036,45.0,164.0,3.03,0.33,11.0,Normal,6.9573
5.7,0.28,0.24,0.044,60.0,167.0,3.31,0.44,9.4,Normal,17.48075
7.5,0.23,0.36,0.036,43.0,161.0,3.04,0.32,11.0,Normal,6.9566
7.2,0.685,0.21,0.07,33.0,172.0,3.0,0.55,9.1,Normal,9.47245
6.5,0.19,0.3,0.043,33.0,144.0,3.42,0.39,9.1,Normal,0.79488
6.3,0.495,0.22,0.046,31.0,140.0,3.39,0.54,10.4,Normal,1.78722
7.1,0.24,0.41,0.046,39.0,145.0,3.32,0.39,8.7,Normal,17.79644
6.4,0.17,0.32,0.048,41.0,200.0,3.5,0.5,9.7,Normal,2.38512
7.1,0.25,0.32,0.041,66.0,272.0,3.17,0.52,9.1,Normal,10.268070000000002
6.8,0.64,0.08,0.062,26.0,142.0,3.37,0.46,8.9,Low,9.672839999999999
8.3,0.28,0.4,0.041,38.0,194.0,3.34,0.51,9.6,Normal,7.78128
8.2,0.27,0.39,0.039,49.0,208.0,3.31,0.51,9.5,Normal,7.78128
7.2,0.23,0.38,0.058,55.0,194.0,3.09,0.44,9.0,Normal,14.26997
6.8,0.52,0.32,0.044,54.0,221.0,3.27,0.5,9.6,Normal,13.163039999999999
7.0,0.26,0.59,0.037,40.0,120.0,3.34,0.41,11.1,Normal,1.38852
6.2,0.25,0.21,0.039,28.0,159.0,3.48,0.64,9.6,Normal,15.52201
7.3,0.32,0.23,0.05,49.0,197.0,3.2,0.46,8.7,Normal,13.67945
7.7,0.31,0.26,0.031,23.0,90.0,3.13,0.5,10.4,Normal,7.75632
7.1,0.21,0.37,0.026,23.0,100.0,3.15,0.38,11.4,Normal,2.3767199999999997
6.8,0.24,0.34,0.047,64.5,218.5,3.3,0.58,9.7,Normal,2.6821800000000002
6.9,0.4,0.56,0.043,40.0,142.0,3.14,0.46,8.7,Normal,11.172
6.1,0.18,0.36,0.038,20.0,249.5,3.37,0.79,11.3,Normal,1.9846
6.8,0.21,0.27,0.03,26.0,139.0,3.16,0.61,12.6,Normal,2.079
5.8,0.2,0.27,0.031,12.0,77.0,3.25,0.36,10.9,Normal,1.3867
5.6,0.19,0.26,0.03,12.0,76.0,3.25,0.37,10.9,Normal,1.3867
6.1,0.41,0.14,0.037,18.0,119.0,3.38,0.45,10.0,Normal,10.3584
5.9,0.21,0.28,0.053,40.0,199.0,3.72,0.7,10.0,Low,4.5834399999999995
8.5,0.26,0.21,0.074,41.0,197.0,3.02,0.5,9.8,Low,16.1676
5.8,0.24,0.44,0.029,5.0,109.0,3.53,0.43,11.7,Low,3.46955
5.8,0.24,0.39,0.054,37.0,158.0,3.21,0.52,9.3,Normal,1.4898
6.7,0.26,0.39,0.04,45.0,147.0,3.32,0.58,9.6,High,1.09285
6.3,0.35,0.3,0.035,8.0,97.0,3.27,0.41,11.0,Normal,5.658390000000001
6.4,0.23,0.39,0.032,23.0,118.0,3.32,0.5,11.8,Normal,1.78416
5.8,0.36,0.38,0.037,3.0,75.0,3.28,0.34,11.4,Low,0.8913599999999999
6.9,0.115,0.35,0.048,36.0,108.0,3.32,0.42,10.2,Normal,5.36706
6.9,0.29,0.4,0.043,36.0,156.0,2.93,0.47,8.9,Normal,19.44222
6.9,0.28,0.4,0.036,15.0,95.0,3.17,0.33,10.2,Normal,8.154079999999999
7.2,0.29,0.4,0.045,66.0,231.0,3.08,0.59,9.6,Normal,13.56872
6.2,0.24,0.35,0.038,22.0,167.0,3.1,0.48,10.6,Normal,1.1894399999999998
6.9,0.32,0.26,0.053,32.0,180.0,3.25,0.51,9.2,Normal,8.270950000000001
5.3,0.58,0.07,0.043,34.0,149.0,3.34,0.57,9.7,Normal,6.86136
5.3,0.585,0.07,0.044,34.0,145.0,3.34,0.57,9.7,Normal,7.06095
5.4,0.59,0.07,0.045,36.0,147.0,3.34,0.57,9.7,Normal,6.9608
5.2,0.6,0.07,0.044,33.0,147.0,3.33,0.58,9.7,Normal,6.9608
5.8,0.25,0.26,0.051,44.0,148.0,3.29,0.38,9.3,Normal,13.06332
6.6,0.58,0.3,0.057,30.0,123.0,3.24,0.38,9.0,Normal,5.073989999999999
7.0,0.29,0.54,0.046,59.0,234.0,3.05,0.61,9.5,Normal,10.66362
6.6,0.19,0.41,0.046,51.0,169.0,3.14,0.57,9.8,Normal,8.85906
6.7,0.2,0.41,0.044,50.0,166.0,3.14,0.58,9.8,Normal,9.05814
7.7,0.26,0.4,0.042,9.0,60.0,2.89,0.5,10.6,Normal,1.0906500000000001
6.8,0.32,0.34,0.044,14.0,67.0,3.05,0.47,10.6,Low,1.19028
7.0,0.3,0.49,0.036,17.0,105.0,3.26,0.68,12.4,Normal,4.66052
7.0,0.24,0.36,0.034,22.0,112.0,3.19,0.38,12.6,High,2.772
6.1,0.31,0.58,0.039,36.0,114.0,3.3,0.6,12.3,High,4.9545
6.8,0.44,0.37,0.047,46.0,201.0,3.08,0.65,10.5,Low,5.068379999999999
6.7,0.34,0.3,0.054,51.0,196.0,3.19,0.49,9.3,Normal,15.571919999999999
7.1,0.35,0.24,0.055,46.0,198.0,3.12,0.49,8.8,Normal,15.38152
7.3,0.32,0.25,0.056,47.0,180.0,3.08,0.47,8.8,Normal,7.17192
6.5,0.28,0.33,0.053,51.0,190.0,3.22,0.51,9.7,Normal,15.66546
7.2,0.23,0.39,0.058,49.0,192.0,2.98,0.48,9.0,Normal,14.17018
5.9,0.15,0.31,0.041,53.0,155.0,3.52,0.46,10.5,Normal,5.7681000000000004
7.4,0.28,0.42,0.066,53.0,195.0,2.96,0.44,9.1,Normal,19.8
6.2,0.28,0.22,0.041,26.0,157.0,3.44,0.64,9.8,Normal,7.26861
9.1,0.59,0.38,0.066,34.0,182.0,3.23,0.38,8.5,Low,1.59488
6.3,0.33,0.27,0.046,34.0,175.0,3.37,0.54,9.4,Normal,1.1920799999999998
8.3,0.39,0.7,0.045,33.0,169.0,3.09,0.57,9.4,Normal,10.57456
7.2,0.19,0.46,0.041,82.0,187.0,3.19,0.6,11.2,Normal,3.7741599999999997
7.5,0.17,0.44,0.046,65.0,146.0,3.17,0.45,10.0,Normal,11.266100000000002
6.7,0.17,0.5,0.043,27.0,122.0,3.15,0.45,10.3,Normal,2.08383
6.1,0.41,0.0,0.063,36.0,87.0,3.27,0.67,10.8,Normal,1.58624
8.3,0.2,0.35,0.05,12.0,74.0,3.13,0.38,10.5,Normal,0.8928
6.0,0.29,0.21,0.055,42.0,168.0,3.32,0.43,11.1,Normal,1.28882
7.3,0.41,0.24,0.057,41.0,163.0,3.2,0.41,9.9,Normal,6.76532
7.2,0.43,0.24,0.058,40.0,163.0,3.2,0.41,9.9,Normal,6.6665
7.3,0.4,0.24,0.058,41.0,166.0,3.2,0.41,9.9,Normal,6.6665
6.2,0.33,0.27,0.036,30.0,134.0,3.2,0.42,10.4,Normal,4.86423
6.2,0.31,0.26,0.037,36.0,148.0,3.21,0.41,10.4,Normal,4.76544
6.1,0.36,0.27,0.035,16.0,100.0,3.4,0.71,11.5,Normal,2.08257
5.0,0.55,0.14,0.032,35.0,164.0,3.53,0.51,12.5,High,8.231940000000002
7.8,0.25,0.41,0.042,37.0,149.0,3.36,0.45,10.0,Normal,3.68298
5.7,0.36,0.21,0.038,51.0,166.0,3.29,0.63,10.0,Normal,6.66047
5.8,0.34,0.21,0.04,50.0,167.0,3.29,0.62,10.0,Normal,6.5610599999999994
6.8,0.28,0.6,0.132,42.0,127.0,3.09,0.44,9.1,Normal,1.09274
6.8,0.25,0.34,0.031,34.0,134.0,3.21,0.38,10.6,Normal,4.665690000000001
6.6,0.24,0.35,0.031,36.0,135.0,3.19,0.37,10.5,Normal,7.65226
5.9,0.3,0.47,0.03,19.0,133.0,3.52,0.43,11.5,Normal,7.7974049999999995
6.1,0.125,0.25,0.04,10.0,69.0,3.54,0.59,10.1,Normal,3.2782199999999997
6.0,0.1,0.24,0.041,15.0,65.0,3.61,0.61,10.3,Normal,1.09197
6.8,0.28,0.44,0.031,35.0,137.0,3.16,0.36,10.4,Normal,9.249780000000001
8.3,0.41,0.51,0.046,11.0,207.0,3.02,0.55,11.4,Normal,1.986
7.5,0.27,0.31,0.057,131.0,313.0,3.18,0.59,10.5,Normal,5.76868
7.9,0.26,0.41,0.04,38.0,216.0,2.96,0.6,10.0,Normal,15.11364
6.4,0.34,0.23,0.039,37.0,143.0,3.19,0.65,10.0,Normal,6.26472
6.5,0.28,0.35,0.042,55.0,195.0,3.23,0.5,9.6,Normal,15.36612
7.2,0.21,0.41,0.036,33.0,85.0,3.17,0.51,10.4,Normal,1.2896
6.4,0.32,0.35,0.03,34.0,101.0,3.36,0.6,12.5,High,4.757759999999999
6.8,0.24,0.34,0.032,37.0,135.0,3.2,0.39,10.6,Normal,4.56642
6.3,0.23,0.3,0.033,16.0,91.0,3.28,0.4,11.8,Normal,1.78308
6.5,0.28,0.34,0.038,30.0,133.0,3.11,0.44,9.8,Normal,9.85446
5.6,0.26,0.26,0.031,12.0,80.0,3.25,0.38,10.8,Normal,5.65611
6.3,0.23,0.33,0.036,15.0,105.0,3.32,0.42,11.2,Normal,1.4865
5.8,0.27,0.27,0.045,55.0,170.0,3.28,0.42,9.3,Normal,12.26556
5.9,0.26,0.4,0.047,12.0,139.0,3.45,0.53,10.4,Normal,1.29285
6.6,0.18,0.35,0.049,49.0,141.0,3.43,0.85,10.2,Normal,1.4901
7.4,0.2,0.43,0.045,27.0,153.0,3.19,0.55,9.0,Normal,7.77192
8.0,0.24,0.36,0.047,17.0,129.0,3.2,0.54,10.0,Normal,1.4922
6.4,0.26,0.42,0.044,30.0,140.0,3.18,0.47,9.1,Normal,9.663139999999999
5.4,0.31,0.47,0.053,46.0,144.0,3.29,0.76,10.0,Normal,2.9793
5.4,0.29,0.47,0.052,47.0,145.0,3.29,0.75,10.0,Normal,2.979
7.1,0.145,0.33,0.05,33.0,131.0,3.28,0.4,9.6,Normal,4.57332
5.6,0.34,0.1,0.031,20.0,68.0,3.36,0.51,11.2,Normal,1.2877800000000001
6.7,0.19,0.41,0.056,75.0,155.0,3.2,0.44,8.8,Normal,15.5922
7.8,0.18,0.46,0.052,38.0,118.0,3.15,0.5,10.0,Normal,13.572799999999999
7.6,0.17,0.45,0.054,56.0,137.0,3.15,0.47,10.0,Normal,11.1664
6.3,0.12,0.36,0.044,47.0,146.0,3.27,0.74,11.4,Normal,2.08194
7.3,0.33,0.4,0.038,32.0,138.0,3.03,0.3,11.9,Normal,6.7951999999999995
